GID;NOMBRE;OBSERVACIONES;TIPO_LOCAL_SEL_DOM;THE_GEOM.SDO_POINT.X;THE_GEOM.SDO_POINT.Y
 1311;Autoservice DEL FUERTE;;Supermercado; 580672.113988946; 6143020.839922045
 1312;Autoservice OCASION;;Supermercado; 578446.329683488; 6143034.596149962
 1318;Autoservice;;Supermercado; 581221.81219922; 6144986.810070707
 1319;Autoservice RED MARKET;;Supermercado; 587156.942811954; 6151347.658070256
 1327;Autoservice DON PEPE;;Supermercado; 578965.178007923; 6148454.268089012
 1328;Autoservice ECO;;Supermercado; 574994.262898621; 6143230.159653527
 1334;Autoservice ZUM FELDE;;Supermercado; 582188.838299198; 6140041.782840298
 1342;Autoservice LUCAS;;Supermercado; 586693.078038342; 6140422.46252536
 1343;Autoservice KINKO 8;;Supermercado; 585712.725798467; 6139788.716507608
 1350;Autoservice LA BOHEMIA 2;;Supermercado; 572811.520290333; 6143815.930355296
 1358;Autoservice PARIS;En 5472;Supermercado; 570785.516703386; 6146748.986020018
 1363;Autoservice ;;Supermercado; 568886.863502038; 6149158.410903092
 1364;Autoservice UNICENTRO;;Supermercado; 568646.119953225; 6149456.219722576
 1332;Autoservice LOS PARAISOS;En 6125;Supermercado; 576320.746838124; 6149847.679272592
 1346;Autoservice VITER;;Supermercado; 570286.280311219; 6145215.652974054
 1349;Autoservice ARIEL;En 4499;Supermercado; 572349.690041289; 6144155.293803366
 1352;Autoservice CC. MM. CANTINA MILITAR;;Supermercado; 574166.459521822; 6145392.617673837
 1353;Autoservice LA FAMILIA;;Supermercado; 573113.291782423; 6145853.563873172
 1366;Supermercado TATA;;Supermercado; 578576.580187599; 6146237.502744216
 1369;Autoservice LA CRUZ;En Av BOLIVIA 2895;Supermercado; 582544.872516698; 6140701.957425646
 1368;Autoservice FERIA VEGETAL;Av Italia 5558;Supermercado; 583399.281494626; 6139480.807416554
 1370;Autoservice SAN CONO;En 3682;Supermercado; 566493.393268971; 6139202.871838735
 1330;Autoservice IBIZA 2;En 4711;Supermercado; 577154.173258639; 6146376.974528796
 1340;Autoservice SUPER SOL;Esquina AMAZONAS;Supermercado; 582200.205677874; 6138131.486159654
 1348;Autoservice LAS BARRERAS;En 4835;Supermercado; 571634.46628904; 6145118.569572822
 224;Supermercado MULTIAHORRO;Cont. 2;Supermercado; 568828.615129372; 6140734.399652062
 226;Supermercado TATA;Cont. 2;Supermercado; 568712.811841833; 6138863.977903288
 227;Supermercado EXPRESS 1;Cont. 2;Supermercado; 570198.437769851; 6141192.995677617
 229;Supermercado EXPRESS 6;;Supermercado; 571250.616054534; 6141660.396538003
 244;Supermercado MICRO MARCO;;Supermercado; 580373.405192618; 6141452.337595222
 245;Supermercado DISCO;;Supermercado; 579253.08511584; 6142464.076644134
 246;Supermercado MULTIAHORRO_TATA;;Supermercado; 580128.459973331; 6144237.85285153
 247;SUPERMERCADO;EN 4208;Supermercado; 578573.652616214; 6145808.205112946
 248;Supermercado CONTINENTE;;Supermercado; 578747.363405118; 6146945.971000547
 263;Supermercado TATA;;Supermercado; 577554.769489092; 6142181.216372173
 264;Supermercado TIENDA INGLESA;EN 3771;Supermercado; 576293.915666557; 6141482.147093452
 265;Supermercado TATA;;Supermercado; 578516.24182785; 6145599.89329955
 5;Supermercado TIENDA INGLESA;EN 966;Supermercado; 577720.648161863; 6136163.72071007
 20;Supermercado DEVOTO;;Supermercado; 574771.538955497; 6141104.512961093
 22;Supermercado DISCO;;Supermercado; 578151.026113242; 6136703.224560775
 25;Supermercado MULTIAHORRO;;Supermercado; 573667.875171512; 6142910.216736346
 26;Supermercado MULTIAHORRO;;Supermercado; 576910.935518398; 6136542.247157819
 102;Supermercado TATA;EN 1280;Supermercado; 574143.683798694; 6137099.985710179
 106;Supermercado TATA;EN 880;Supermercado; 573310.769787131; 6137032.2825304
 200;Supermercado DEVOTO;Garzón 1939;Supermercado; 571095.999982543; 6148296.286097706
 201;Supermercado TATA;;Supermercado; 571102.645654716; 6148361.415909847
 209;Supermercado MULTIAHORRO;AV LEZICA 6345;Supermercado; 568801.007248646; 6149251.130172414
 243;Supermercado TIENDA INGLESA;EN 4086;Supermercado; 579063.754951796; 6140953.419965682
 251;Supermercado DISCO;RUTA 8 7720;Supermercado; 583549.678903254; 6148565.198838606
 253;Supermercado MACROMERCADO;EN 6783;Supermercado; 582113.234458791; 6146062.087727497
 260;Supermercado DEVOTO;;Supermercado; 578260.754409086; 6140296.890734846
 261;Supermercado TATA;EN 3721;Supermercado; 578468.537661497; 6140440.326774444
 262;Supermercado TATA;;Supermercado; 576599.50822783; 6142741.241451899
 356;Supermercado DEVOTO;;Supermercado; 584073.603819469; 6138370.707296989
 363;Supermercado MULTIAHORRO;;Supermercado; 585070.626831602; 6140922.679977774
 353;Supermercado TATA;;Supermercado; 584172.578637645; 6139760.042132065
 355;Supermercado DEVOTO;;Supermercado; 584152.617624; 6139756.923223683
 357;Supermercado DEVOTO;;Supermercado; 585300.871904751; 6138407.151387418
 358;Supermercado TIENDA INGLESA;;Supermercado; 586012.753791019; 6139019.52338386
 362;Supermercado DEVOTO;;Supermercado; 586160.455966168; 6140125.553992217
 1316;Autoservice SUPER DESCUENTO;;Supermercado; 578610.182328744; 6146153.700807696
 1325;Autoservice IBIZA;;Supermercado; 578674.339847156; 6146739.302528896
 1337;Autoservice RED MARKET 13;;Supermercado; 580019.058136977; 6139121.75246532
 1378;En vía pública;C12-n10, Fte. 2208;Supermercado; 576221.32444276; 6135661.484042767
 1285;Autoservice EL CLON;;Supermercado; 571444.568288198; 6142485.209864684
 1288;Autoservice MANJARES;;Supermercado; 570340.724029463; 6142727.560924958
 1292;Autoservice EL CLON;;Supermercado; 568493.436071583; 6140658.591695999
 1299;Autoservice  LOS PORTONES;;Supermercado; 561128.443399248; 6142173.258933983
 1300;Autoservice MULTI ECO;;Supermercado; 566421.803529741; 6144907.701199216
 1304;Autoservice ;;Supermercado; 559213.283554786; 6150060.14036244
 1309;Autoservice RED MARKET 11;;Supermercado; 565288.094226123; 6146429.28539652
 1313;Autoservice SUPER;;Supermercado; 577895.800491526; 6143136.502530525
 1322;Autoservice DEPOSITO MAYORISTA;;Supermercado; 577192.249213266; 6140903.728743459
 1310;Autoservice SUPER LOS 33;;Supermercado; 580730.581837694; 6140868.448540674
 1314;Autoservice BETINA;;Supermercado; 579089.558808988; 6143710.660563896
 1315;Autoservice SUPER;;Supermercado; 579056.680810144; 6143761.404591958
 1317;Autoservice FRIGO 2000;;Supermercado; 579214.947785756; 6144538.77295967
 1326;Autoservice TAMISUR;;Supermercado; 579021.578555289; 6150814.660033466
 1329;Autoservice LA RANITA;En 4468;Supermercado; 577845.350779746; 6146833.634740812
 1331;Autoservice FRIGO;En 3086;Supermercado; 576643.361061042; 6148065.79040134
 1333; Autoservice FRIGO REY;;Supermercado; 582221.68996278; 6139988.245126888
 1336;Autoservice SUPERMERCADO;En 2148;Supermercado; 578092.228959657; 6139177.917001514
 1351;Autoservice FRIGO;;Supermercado; 573726.007913015; 6144660.715912214
 1359;Autoservice SAN ROQUE;En 1945;Supermercado; 571050.505709344; 6148329.545215664
 1362;Autoservice SUPERTOTIS;;Supermercado; 570394.147771898; 6149183.553308901
 1391;En vía pública;C12-n35, Pasando 790;Supermercado; 576265.972799931; 6136129.894447236
 1282;Autoservice NUEVO PORVENIR;;Supermercado; 571688.016622907; 6141968.716857893
 1287;Autoservice MARYMAR;;Supermercado; 571202.380293901; 6142736.386179178
 1308;Autoservice DEL RIO;En 193;Supermercado; 559190.771256873; 6150131.719818724
 54;Supermercado DISCO;EN 1318;Supermercado; 577213.096452687; 6137089.981847698
 290;Supermercado FRIGO;EN 3209;Supermercado; 578017.716347102; 6139438.735696514
 293;Supermercado TATA;;Supermercado; 577808.385440962; 6139948.62598761
 326;Supermercado MULTIAHORRO;;Supermercado; 578471.495548053; 6140165.377956446
 332;Supermercado TATA;EN 4361;Supermercado; 580122.046535171; 6140504.691333269
 335;Supermercado MULTIAHORRO;EN 4656;Supermercado; 580642.80672802; 6140810.394031685
 341;Supermercado MULTIAHORRO;EN 4498;Supermercado; 580940.38593671; 6139724.029515093
 344;Supermercado DISCO;;Supermercado; 579931.540978992; 6138605.189018345
 345;Supermercado MULTIAHORRO;EN 4250;Supermercado; 580239.613791692; 6138135.79513426
 69;Supermercado MULTIAHORRO;;Supermercado; 575544.715179337; 6136959.666665068
 77;Supermercado TATA;EN 1593;Supermercado; 574741.77130263; 6137297.171113948
 128;Supermercado DISCO;;Supermercado; 575143.422235746; 6137854.849786416
 179;Supermercado ADONIS;;Supermercado; 571489.068389821; 6142455.53658413
 219;Supermercado EXPRESS 7;Cont. 2;Supermercado; 570859.496116329; 6142565.852002566
 221;Supermercado MACROMERCADO;Cont. 3;Supermercado; 567407.476161794; 6144582.34924653
 222;Supermercado MACROMERCADO;Cont. 3;Supermercado; 570279.652827312; 6142002.539374274
 223;Supermercado MULTIAHORRO;Cont. 2;Supermercado; 569739.020992875; 6141476.858882435
 228;Supermercado DEVOTO;;Supermercado; 570999.4840143; 6143035.812972518
 259;Supermercado MULTIAHORRO;EN 4649;Supermercado; 577213.12896684; 6143699.936191125
 342;Supermercado MULTIAHORRO;EN 3796;Supermercado; 579485.682547166; 6139143.503676508
 346;Supermercado DEVOTO;;Supermercado; 580801.77611867; 6138443.466925808
 348;Supermercado DEVOTO;EN 1444;Supermercado; 581524.668026574; 6138241.397174988
 349;Supermercado DISCO;;Supermercado; 582353.060035405; 6138801.121591249
 350;Supermercado FRIGO;;Supermercado; 582245.553572998; 6139951.5093816
 351;Supermercado TIENDA INGLESA;;Supermercado; 583894.864012082; 6139566.378998748
 27;Supermercado DISCO;;Supermercado; 576720.547128642; 6136252.044543762
 23;Supermercado DEVOTO;;Supermercado; 574901.553098284; 6138543.571404656
 29;Supermercado DEVOTO;;Supermercado; 576974.455454594; 6135611.949942578
 32;Supermercado DISCO;;Supermercado; 578139.393830044; 6138342.310022756
 43;Supermercado DISCO;EN 2628;Supermercado; 577112.428233802; 6136027.030392215
 51;Supermercado DISCO;EN 2681;Supermercado; 576689.964939331; 6138855.859645564
 57;Supermercado DISCO;Agraciada 2986;Supermercado; 573238.161828685; 6140422.001199988
 61;Supermercado TATA;EN MONTEVIDEO SHOPPING;Supermercado; 578954.228624208; 6137421.099761807
 62;Supermercado DISCO;Marcelino Sosa 2706;Supermercado; 574822.156407347; 6140209.59223008
 70;Supermercado DISCO;;Supermercado; 578430.914154252; 6139119.601485397
 72;Supermercado DEVOTO;;Supermercado; 573494.780177277; 6141708.967511248
 71;Supermercado DISCO;;Supermercado; 575544.35841727; 6137428.369207326
 74;Supermercado MULTIAHORRO;;Supermercado; 576258.027070529; 6139639.548411974
 100;Supermercado DISCO;;Supermercado; 573652.580943473; 6136645.236110669
 103;Supermercado DISCO;;Supermercado; 574271.208539891; 6137500.835942578
 125;Supermercado CLON;;Supermercado; 575781.707606025; 6137772.712556322
 6;Supermercado DEVOTO;EN 1360;Supermercado; 578020.552933088; 6136857.325957842
 24;Supermercado MULTIAHORRO;;Supermercado; 576948.434208252; 6136841.255955968
 28;Supermercado MULTIAHORRO;EN 2226;Supermercado; 575752.375059903; 6138592.980229248
 30;Supermercado MULTIAHORRO;;Supermercado; 579564.703903074; 6138401.932608996
 34;Supermercado MACROMERCADO;;Supermercado; 574897.691851396; 6141423.704236033
 37;Supermercado DISCO FAST;EN 2335;Supermercado; 576393.373067553; 6137635.145957927
 38;Supermercado TIENDA INGLESA;;Supermercado; 573555.878459119; 6142462.235130739
 39;Supermercado DISCO;;Supermercado; 576493.187970378; 6137684.151045338
 47;Supermercado MULTIAHORRO;Cufre 2685;Supermercado; 575774.429563964; 6140182.571012742
 53;Supermercado TATA;EN 1867_DENTRO DE SHOPPING TRES CRUCES;Supermercado; 576254.464536827; 6138503.561519626
 55;Supermercado MULTIAHORRO;;Supermercado; 573719.943565886; 6139454.161556338
 59;Supermercado TIENDA INGLESA;EN MONTEVIDEO SHOPPING;Supermercado; 578962.56578896; 6137375.000144949
 60;Supermercado DEVOTO;;Supermercado; 572252.014925969; 6141622.767843032
 63;Supermercado PLANETA;EN 2348;Supermercado; 576318.069343226; 6137481.253493882
 64;Supermercado DISCO;EN PUNTA CARRETAS SHOPPING;Supermercado; 576855.436033066; 6135044.551907044
 66;Supermercado FRIGO;;Supermercado; 575315.709927339; 6136418.896589284
 67;Supermercado MULTIAHORRO;;Supermercado; 574421.050120701; 6140338.294774339
 82;Supermercado GEANT;;Supermercado; 575963.607396282; 6141197.222711546
 99;Supermercado DISCO;;Supermercado; 574554.204848553; 6136206.10304118
 197;Supermercado TATA;;Supermercado; 571309.305014984; 6142610.634397441
 198;Supermercado DEVOTO;;Supermercado; 572068.989394137; 6144826.378384987
 205;Supermercado MULTIAHORRO;BV JOSE BATLLE Y ORDOÑEZ 6607;Supermercado; 570967.578530427; 6146050.59238667
 220;Supermercado EL MORRO;Cont. 2;Supermercado; 566989.453443381; 6140959.226417221
 133;Complejo MARVIC;;Complejo habitacional; 575452.00171339; 6141248.160608716
 108;Complejo CARIBE AGUADA;Rondeau 2220;Complejo habitacional; 573732.914493574; 6138957.770133779
 115;Complejo LARROBLA;Larrobla 931;Complejo habitacional; 572658.884453692; 6140860.095523486
 123;Complejo 19 DE ABRIL;;Complejo habitacional; 573230.050885484; 6140287.978108986
 151;Complejo SAN FELIPE Y SANTIAGO;;Complejo habitacional; 573000.83415991; 6141705.78162309
 216;COMPLEJO GOES;;Complejo habitacional; 575080.528269224; 6136272.138771845
 241;Complejo CH 83;;Complejo habitacional; 569268.872885317; 6143039.288685409
 94;Complejo GRAL ARTIGAS;;Complejo habitacional; 576195.274291766; 6139789.520580782
 120;Complejo ESPINILLO I;;Complejo habitacional; 573597.851830733; 6140613.744676668
 126;Complejo CUTCSA I;;Complejo habitacional; 573442.0920061; 6141939.176206148
 268;Complejo CH 79;;Complejo habitacional; 578296.909534033; 6146277.365154262
 270;Complejo CH 89 ESCORIAL;;Complejo habitacional; 577055.53333119; 6146876.328735224
 273;COMPLEJO AZOTEA DE LIMA;;Complejo habitacional; 578052.208021021; 6145264.711075212
 215;Edificio TRES CRUCES;EN 1375;Edificio; 574300.164664134; 6137457.084065388
 278;ESCUELA 39 Y 273;;Edificio; 577043.034302417; 6135535.866001287
 294;EDIFICIO NAUTILUS;;Edificio; 577554.784162234; 6135319.287724619
 296;EDIFICIO ORGAMIRA;;Edificio; 577595.432855629; 6135398.125298964
 297;EDIFICIO MONTPELLIER;;Edificio; 577523.683764865; 6136928.052850388
 298;EDIFICIO DELTA;3371;Edificio; 577896.431901388; 6136456.620538532
 299;EDIFICIO CORNAVI;EN 754;Edificio; 577600.655748517; 6135744.300930946
 300;Edificio TORREMINA - 2 TORRES;EN 3767;Edificio; 576667.640615161; 6135478.911603906
 301;EDIFICIO VILLA DESTE;EN 537;Edificio; 576981.323424692; 6135424.15234973
 302;EDIFICIO VIAREGGIO;;Edificio; 577722.182042092; 6136368.707811275
 303;EDIFICIO;EN 3381;Edificio; 577832.607532142; 6136373.516175637
 305;EDIFICIO ;EN 958;Edificio; 577631.028044755; 6136144.973224435
 308;EDIFIFIO;;Edificio; 577836.36820856; 6137032.727295483
 309;EDIFICIO;;Edificio; 578091.960291683; 6136702.180257408
 310;EDIFICIO ;;Edificio; 577391.509813667; 6136806.93893173
 311;EDIFICIO PATRICIA;;Edificio; 577734.331091577; 6136971.672801128
 312;EDIFICIO BARRAMAR;;Edificio; 577925.176050279; 6136750.807507774
 315;EDIFICIO EBRO;EN 3281;Edificio; 578002.105799117; 6136651.701659196
 317;EDIFICIO NOBIGRAN;;Edificio; 577261.622707329; 6135612.67004811
 318;Edificio GANDHI;;Edificio; 577380.705271254; 6135143.942703922
 319;EDIFICIO DE LOS POCITOS;;Edificio; 577701.945037913; 6136508.981033794
 320;EDIFICIO ONGAMIRA;;Edificio; 577885.460441377; 6136308.945392136
 321;EDIFICIO SAINT MICHEL;EN 1377 - 1379;Edificio; 578421.811451281; 6136664.94885921
 322;Edificio BOAVISTA;;Edificio; 577199.88588782; 6134989.333408874
 323;EDIFICIO DELPHOS ;;Edificio; 577727.74443902; 6135947.291659546
 324;EDIFICIO REGEN PARK;;Edificio; 577423.246109264; 6135446.667907366
 325;EDIFICIO HYDE PARK;;Edificio; 577411.34126006; 6135468.570141557
 327;EDIFICIO ;EN 640;Edificio; 577433.921501662; 6135481.460496456
 328;EDIFICIO PUNTA DE LAS CARRETAS;EN 769;Edificio; 577503.196354525; 6135788.664939753
 329;EDIFICIO FIGUERAS;;Edificio; 577555.589105855; 6135915.285158086
 330;EDIFICIO ;;Edificio; 577437.735596164; 6135919.680197026
 333;EDIFICIO FIDGI;EN 2993;Edificio; 577382.112859567; 6135411.929752984
 334;Edificio ZORRILLA;;Edificio; 576728.591037633; 6134763.893314855
 337;EDIFICIO SAN GIULIANO;;Edificio; 577485.003220326; 6135517.366855807
 76;EDIFICIO GRICEL;EN 1208;Edificio; 577762.113798956; 6136655.34520267
 110;EDIFICIO PONT DUGARD;EN 667;Edificio; 577606.414286061; 6135501.898730352
 122;EDIFICIO MERCEDES;;Edificio; 577604.282691062; 6136317.810061526
 129;EDIFICIO BELLEVUE;Agraciada 2863;Edificio; 573418.519132146; 6140171.42738484
 135;EDIFICIO ;;Edificio; 577545.366061312; 6135552.191170524
 162;Edificio NERVI;EN 1586;Edificio; 574874.346220108; 6136253.042544855
 182;EDIFICIO SAINT MICHEL;;Edificio; 577448.355834476; 6136108.356645602
 206;Edificio UFAMA;;Edificio; 575776.543736834; 6138497.634677706
 207;Edificio;EN 1365;Edificio; 574294.359025446; 6137454.682179127
 218;Complejo GOES BPS;;Edificio; 573921.211268469; 6136377.142483798
 280;EDIFICIO AUSTRAL;EN 790;Edificio; 577241.759283319; 6135909.010804535
 304;EDIFICIO CANNES;EN 2980;Edificio; 577723.99480469; 6135675.448657611
 306;EDIFICIO ;;Edificio; 577668.578728225; 6135861.54873714
 307;EDIFICIO VALDEJARA;;Edificio; 576853.255202568; 6136074.551497782
 313;EDIFICIO DORYSOL;;Edificio; 577977.733544696; 6136658.748504073
 316;EDIFICIO MILSOL;;Edificio; 577695.420781414; 6136468.16300942
 131;EDIFICIO NEALI;2931;Edificio; 577557.92694197; 6138822.751591808
 141;EDIFICIO RIO DE LA PLATA;;Edificio; 577733.020926785; 6135748.494092348
 164;Edificio PIAZZA LAMARO I ;EN 1679;Edificio; 575046.911501088; 6136289.229872097
 172;EDIFICIO ARAMAYA;;Edificio; 578163.687256753; 6137130.127579106
 73;EDIFICIO BIARRITZ;;Edificio; 577535.779366757; 6135521.132728625
 78;EDIFICIO 26 DE MARZO;;Edificio; 578495.497343313; 6136996.302265875
 116;EDIFICIO PLAYA PIQUIO;1171;Edificio; 577897.254960806; 6136519.27760598
 208;Edificio;;Edificio; 573881.92023893; 6137191.876823996
 127;EDIFICIO SAINT MAIO;;Edificio; 577645.039441482; 6136258.915074758
 132;EDIFICIO NACIONES UNIDAS;EN 1184;Edificio; 578064.37616027; 6136498.695545493
 160;Edificio COVISUR I;EN 1696;Edificio; 576199.623422575; 6138203.753505764
 169;Edificio TAMPICO;;Edificio; 573177.644295001; 6136594.894883946
 191;TORRE LUIS PIERA;EN DR. LUIS PIERA 1807, 1825, 1835 Y 1841;Edificio; 575386.433584065; 6136214.408180988
 210;Edificio;;Edificio; 575801.940101062; 6138528.858110984
 211;Edificio GUAPORE;EN 1796;Edificio; 573708.838165535; 6138050.639906187
 237;Cooperativa COVINUBEL 1;EN 5375;Cooperativa de viviendas; 568912.985711731; 6143947.297265601
 238;Cooperativa COVINUBEL 2;EN 5395;Cooperativa de viviendas; 568876.204102535; 6143972.308759854
 142;Cooperativa COVIREUS AL SUR;;Cooperativa de viviendas; 574905.323101893; 6136507.93783854
 230;Cooperativa TEBELPA 3;EN 5191;Cooperativa de viviendas; 570603.753475923; 6144113.065364259
 231;Cooperativa COAVIM;;Cooperativa de viviendas; 570838.335828368; 6143758.076195016
 256;Cooperativa MANCHEGA;En 3629;Cooperativa de viviendas; 577867.953565211; 6143482.613649656
 157;Cooperativa RAYUELA;;Cooperativa de viviendas; 576158.810227228; 6137139.41917353
 254;Cooperativa COVIOMBRO;;Cooperativa de viviendas; 580697.092185277; 6143817.496727942
 255;Cooperativa COVICOTER;;Cooperativa de viviendas; 580379.436038407; 6143814.706661592
 269;Cooperativa COVAFI;;Cooperativa de viviendas; 576397.085064794; 6144105.208482454
 373;Cooperativa COVHI;EN 6924;Cooperativa de viviendas; 586202.812702239; 6140975.332134016
 376;Cooperativa COVISUNCA;;Cooperativa de viviendas; 582234.103592507; 6140006.443108028
 379;Cooperativa COVINE 8;;Cooperativa de viviendas; 582198.088612226; 6140061.406529224
 369;Cooperativa COPAGRA;;Cooperativa de viviendas; 583286.531287568; 6139712.728670385
 375;Cooperativa COVIADEOM;;Cooperativa de viviendas; 582229.716274598; 6140012.475670153
 371;Cooperativa UCOVICETA;EN MURGUIONDO 5109;Cooperativa de viviendas; 582183.398301681; 6140078.936539389
 372;Cooperativa ABAYUBA;EN 5513;Cooperativa de viviendas; 582376.617166855; 6140484.722785076
 365;Cooperativa COVIDMA;EN 5241;Cooperativa de viviendas; 582190.016683283; 6140065.753892033
 370;Cooperativa COVISA;;Cooperativa de viviendas; 583305.177388682; 6139700.663546135
 380;Cooperativa VICMAN;;Cooperativa de viviendas; 580359.481853403; 6140768.883605591
 80;En Vía Pública;2;En via publica; 579983.756712256; 6138565.571925418
 81;En Vía Pública;3;En via publica; 580094.81072615; 6138652.156291118
 86;En Vía Pública;6;En via publica; 579850.716659395; 6138837.69937635
 92;En Vía Pública;9;En via publica; 579338.441381617; 6138899.030706332
 96;En Vía Pública;11;En via publica; 579430.248850784; 6138630.105476036
 134;En Vía Pública;21;En via publica; 580410.898084482; 6139019.214159704
 138;En Vía Pública;23;En via publica; 580801.820009688; 6139083.604944908
 159;En Vía Pública;37;En via publica; 581519.13399909; 6138254.479201499
 170;En Vía Pública;44;En via publica; 580419.285386583; 6138378.001474844
 199;En Vía Pública;42;En via publica; 580472.037175888; 6137939.794082002
 79;En Vía Pública;1;En via publica; 580419.21875241; 6138667.104790005
 87;En Vía Pública;7;En via publica; 580001.88524399; 6139010.914306939
 91;En Vía Pública;8;En via publica; 579681.986643495; 6139008.672273269
 101;En Vía Pública;12;En via publica; 579348.792909111; 6139154.337441618
 105;En Vía Pública;14;En via publica; 579959.204733644; 6139130.061410791
 107;En Vía Pública;15;En via publica; 580166.840947228; 6138927.046858137
 109;En Vía Pública;16;En via publica; 580407.32957036; 6138931.363894688
 111;En Vía Pública;17;En via publica; 580526.080641836; 6138931.823249288
 140;En Vía Pública;24;En via publica; 581077.925666578; 6139035.549353906
 144;En Vía Pública;26;En via publica; 581533.711569963; 6138972.451151567
 145;En Vía Pública;27;En via publica; 582469.423881693; 6138821.994962068
 146;En Vía Pública;28;En via publica; 582358.023623764; 6139226.638964125
 149;;30;En via publica; 582488.877253743; 6138069.503508916
 150;En Vía Pública;31;En via publica; 582585.923640272; 6138301.631115803
 154;En Vía Pública;34;En via publica; 582789.46907283; 6138559.145164996
 155;;35;En via publica; 582936.846928476; 6138334.478886062
 165;En Vía Pública;40;En via publica; 580733.519166402; 6138299.552858191
 166;En Vía Pública;41;En via publica; 580654.045301034; 6138043.86115172
 168;En Vía Pública;43;En via publica; 580267.685747765; 6138509.904702085
 171;En Vía Pública;45;En via publica; 580235.077041705; 6138147.13528965
